date;rain
2011-07-15;False
2011-07-16;False
2011-07-17;True
2011-07-18;True
2011-07-19;False
2011-07-20;False
2011-07-21;True
2011-07-22;True
2011-07-23;True
2011-07-24;False
2011-07-25;False
2011-07-26;False
2011-07-27;False
2011-07-28;True
2011-07-29;True
2011-07-30;True
2011-07-31;True
2011-08-01;True
2011-08-02;True
2011-08-03;False
2011-08-04;True
2011-08-05;True
2011-08-06;True
2011-08-07;True
2011-08-08;True
2011-08-09;False
2011-08-10;True
2011-08-11;True
2011-08-12;True
2011-08-13;False
2011-08-14;True
2011-08-15;True
2011-08-16;True
2011-08-17;False
2011-08-18;False
2011-08-19;True
2011-08-20;False
2011-08-21;False
2011-08-22;False
2011-08-23;True
2011-08-24;True
2011-08-25;True
2011-08-26;True
2011-08-27;True
2011-08-28;False
2011-08-29;True
2011-08-30;False
2011-08-31;False
2011-09-01;False
2011-09-02;False
2011-09-03;False
2011-09-04;False
2011-09-05;True
2011-09-06;False
2011-09-07;True
2011-09-08;True
2011-09-09;True
2011-09-10;True
2011-09-11;True
2011-09-12;True
2011-09-13;False
2011-09-14;False
2011-09-15;False
2011-09-16;False
2011-09-17;False
2011-09-18;True
2011-09-19;True
2011-09-20;False
2011-09-21;False
2011-09-22;False
2011-09-23;False
2011-09-24;False
2011-09-25;False
2011-09-26;False
2011-09-27;True
2011-09-28;False
2011-09-29;False
2011-09-30;False
2011-10-01;False
2011-10-02;False
2011-10-03;False
2011-10-04;False
2011-10-05;True
2011-10-06;True
2011-10-07;True
2011-10-08;True
2011-10-09;False
2011-10-10;True
2011-10-11;True
2011-10-12;True
2011-10-13;False
2011-10-14;False
2011-10-15;False
2011-10-16;True
2011-10-17;False
2011-10-18;True
2011-10-19;True
2011-10-20;False
2011-10-21;False
2011-10-22;False
2011-10-23;True
2011-10-24;False
2011-10-25;False
2011-10-26;True
2011-10-27;True
2011-10-28;False
2011-10-29;False
2011-10-30;True
2011-10-31;False
2011-11-01;True
2011-11-02;False
2011-11-03;True
2011-11-04;False
2011-11-05;True
2011-11-06;True
2011-11-07;False
2011-11-08;True
2011-11-09;True
2011-11-10;True
2011-11-11;False
2011-11-12;False
2011-11-13;False
2011-11-14;False
2011-11-15;False
2011-11-16;False
2011-11-17;False
2011-11-18;True
2011-11-19;False
2011-11-20;False
2011-11-21;False
2011-11-22;False
2011-11-23;False
2011-11-24;False
2011-11-25;True
2011-11-26;True
2011-11-27;False
2011-11-28;False
2011-11-29;False
2011-11-30;False
2011-12-01;False
2011-12-02;True
2011-12-03;True
2011-12-04;False
2011-12-05;False
2011-12-06;False
2011-12-07;True
2011-12-08;True
2011-12-09;True
2011-12-10;True
2011-12-11;False
2011-12-12;True
2011-12-13;True
2011-12-14;True
2011-12-15;True
2011-12-16;True
2011-12-17;True
2011-12-18;True
2011-12-19;False
2011-12-20;False
2011-12-21;True
2011-12-22;False
2011-12-23;True
2011-12-24;True
2011-12-25;True
2011-12-26;True
2011-12-27;False
2011-12-28;False
2011-12-29;False
2011-12-30;True
2011-12-31;False
2012-01-01;True
2012-01-02;True
2012-01-03;True
2012-01-04;True
2012-01-05;True
2012-01-06;True
2012-01-07;True
2012-01-08;True
2012-01-09;True
2012-01-10;True
2012-01-11;False
2012-01-12;True
2012-01-13;False
2012-01-14;False
2012-01-15;False
2012-01-16;True
2012-01-17;True
2012-01-18;True
2012-01-19;True
2012-01-20;True
2012-01-21;False
2012-01-22;True
2012-01-23;True
2012-01-24;False
2012-01-25;False
2012-01-26;False
2012-01-27;False
2012-01-28;False
2012-01-29;False
2012-01-30;False
2012-01-31;False
2012-02-01;False
2012-02-02;False
2012-02-03;False
2012-02-04;False
2012-02-05;False
2012-02-06;False
2012-02-07;False
2012-02-08;False
2012-02-09;False
2012-02-10;False
2012-02-11;False
2012-02-12;False
2012-02-13;False
2012-02-14;False
2012-02-15;True
2012-02-16;True
2012-02-17;True
2012-02-18;False
2012-02-19;True
2012-02-20;False
2012-02-21;True
2012-02-22;False
2012-02-23;True
2012-02-24;True
2012-02-25;False
2012-02-26;False
2012-02-27;True
2012-02-28;True
2012-02-29;True
2012-03-01;False
2012-03-02;False
2012-03-03;False
2012-03-04;False
2012-03-05;False
2012-03-06;False
2012-03-07;False
2012-03-08;True
2012-03-09;False
2012-03-10;False
2012-03-11;False
2012-03-12;True
2012-03-13;False
2012-03-14;False
2012-03-15;False
2012-03-16;False
2012-03-17;False
2012-03-18;False
2012-03-19;False
2012-03-20;False
2012-03-21;False
2012-03-22;False
2012-03-23;False
2012-03-24;False
2012-03-25;False
2012-03-26;False
2012-03-27;False
2012-03-28;False
2012-03-29;False
2012-03-30;False
2012-03-31;True
2012-04-01;False
2012-04-02;True
2012-04-03;False
2012-04-04;True
2012-04-05;False
2012-04-06;False
2012-04-07;False
2012-04-08;False
2012-04-09;False
2012-04-10;False
2012-04-11;False
2012-04-12;False
2012-04-13;False
2012-04-14;False
2012-04-15;False
2012-04-16;False
2012-04-17;False
2012-04-18;False
2012-04-19;False
2012-04-20;False
2012-04-21;False
2012-04-22;False
2012-04-23;False
2012-04-24;True
2012-04-25;True
2012-04-26;False
2012-04-27;False
2012-04-28;False
2012-04-29;False
2012-04-30;False
2012-05-01;False
2012-05-02;False
2012-05-03;True
2012-05-04;False
2012-05-05;True
2012-05-06;True
